name,id_game,quote,effect,unlock,image,quality,pool,item_quality,extension
Berserk!,5.100.704,Rip and tear,"Causes Isaac to go berserk for 5 seconds, greatly increasing his speed, tears, and damage, but restricting him to using a melee weapon instead of his tears. This item charges by dealing damage to enemies instead of clearing rooms.",Defeat Delirium as  Tainted Samson,imagenes3,2,Devil RoomUltra Secret RoomDevil Room,,repentance
Book of Virtues,5.100.584,Spiritual companionship,"On use, spawns a destroyable orbiting wisp familiar that fires tears and deals contact damage. Also acts as a passive item that causes other active items to spawn themed wisps.",Defeat Isaac as  Bethany,imagenes3,3,Angel RoomLibraryAngel Room,,repentance
Broken Glass Cannon,5.100.474,You broke it!,Begins with no charges and turns into  Glass Cannon when used. Only acquired by taking damage while holding Glass Cannon.,Unlocked,imagenes3,0,,,repentance
Clear Rune,5.100.263,Rune mimic,Has the same effect as the rune or soul stone currently held by Isaac.,Complete Onan's Streak (challenge #29) Complete The Guardian (challenge #30),imagenes3,2,Crane GameSecret RoomSecret Room,,repentance
Damocles,5.100.577,A king's fortune... but at what cost?,"Spawns a sword above Isaac's head, which doubles all item pedestals. After Isaac takes damage, the sword can randomly fall at any point, instantly killing him.",Defeat The Lamb as  Jacob and Esau,imagenes3,2,Devil RoomDevil Room,,repentance
Dark Arts,5.100.705,One with the shadows,"Briefly grants +1 speed and makes Isaac invulnerable and intangible. When the effect ends, destroys all projectiles and damages all enemies Isaac ran through.",Defeat Delirium as  Tainted Judas,imagenes3,2,Devil RoomUltra Secret RoomDevil Room,,repentance
Death Certificate,5.100.628,Where am I?,"Takes Isaac to an abandoned and expanded version of  Home, which has one copy of every item in the game. After taking an item, Isaac returns to the room he used Death Certificate in.","Earn all Hard mode Completion Marks for all characters, including tainted ones",imagenes3,4,Secret RoomSecret Room,,repentance
Decap Attack,5.100.729,Chuck away!,"Throws Isaac's head, which is still able to fire tears at the spot it lands. Reactivating the item or stepping on the head reattaches it.",Defeat Delirium as  Tainted Forgotten,imagenes3,2,Treasure RoomTreasure Room,,repentance
Eraser,5.100.638,Erase thy enemy,"Throws an eraser that instantly kills the first monster it hits, and prevents that monster from spawning for the rest of the run. Can only be used once per floor.",Unlocked,imagenes3,2,Crane GameShopShop,,repentance
Esau Jr.,5.100.703,Lost brother,"Swaps between the current character and Esau Jr., who has +2 flat damage and flight. Characters have independent items and health. Dying as either character ends the run.",Defeat The Beast as  Tainted Jacob,imagenes3,2,Secret RoomTreasure RoomUltra Secret RoomSecret RoomShopTreasure Room,,repentance
Eternal D6,5.100.609,???,Rerolls all items in the room. Each item has a 30% chance to disappear instead.,Defeat Mother as  ???,imagenes3,3,Crane GameSecret RoomTreasure RoomSecret RoomTreasure Room,,repentance
Everything Jar,5.100.720,Anything is possible,"Spawns certain pickups based on how many charges it has. If fully charged, instead has one of many unique effects.",Defeat The Beast as  Eden,imagenes3,3,Crane GameTreasure RoomTreasure Room,,repentance
Flip,5.100.711,Twist of fate,"Item pedestals have a second uninteractable ""ghostly"" item behind them. Activating will flip the real and ghostly items around. If playing as   Tainted Lazarus, also flips between them and   Dead Tainted Lazarus.",Defeat Delirium as  Tainted Lazarus,imagenes3,4,Curse RoomSecret RoomUltra Secret RoomSecret RoomShop,,repentance
Fortune Cookie,5.100.557,Reusable fortunes,"Gives Isaac a fortune,   Soul Heart, Card, Rune, or trinket, similar to a  Fortune Telling Machine. Fortunes are much more likely to be given than anything else.",Unlocked,imagenes3,2,Treasure RoomTreasure Room,,repentance
Free Lemonade,5.100.578,Party time!,Creates a large pool of yellow creep beneath Isaac.,Unlocked,imagenes3,1,Treasure RoomTreasure Room,,repentance
Friend Finder,5.100.687,Best friends forever!,Spawns a random friendly monster that mimics Isaac's movements and attacks.,Defeat The Beast as  Jacob and Esau,imagenes3,3,Crane GameTreasure RoomTreasure Room,,repentance
Gello,5.100.728,Demonic gestation,"Spawns a demon familiar that's attached to Isaac and moves and fires in the direction Isaac shoots, using Isaac's damage, tears, range, shot speed, and special tear effects.",Defeat Delirium as  Tainted Lilith,imagenes3,3,Devil RoomTreasure RoomUltra Secret RoomDevil RoomTreasure Room,,repentance
Genesis,5.100.622,In the beginning,"Removes all of Isaac's items and pickups and takes him to a unique Bedroom with some pickups and  Chests and a trapdoor to the next floor. For every item Isaac lost, he gets to take an item from a set of three.",Defeat Ultra Greedier as  Jacob and Esau,imagenes3,3,Angel RoomAngel Room,,repentance
Golden Razor,5.100.555,Pain from gain,Spends five   Pennies to increase Isaac's damage by 1.2 for the current room.,"In a single run, obtain 99 Coins, then spend all of them",imagenes3,1,Treasure RoomTreasure Room,,repentance
Hold,5.100.715,Saved for later,"Exclusive to   Tainted ???. Allows him to save one poop bomb for later, allowing him to gather more over time.",Unlocked,imagenes3,0,,,repentance
Jar of Wisps,5.100.685,Your faith grows,"Spawns random wisps that shoot various tears, block shots, and deal contact damage. The number of wisps spawned increases every time the jar is used.",Defeat The Beast as  Bethany,imagenes3,2,Angel RoomAngel Room,,repentance
Keeper's Box,5.100.719,Portable shop,Spawns a random shop item or pickup which can be bought for its normal price.,Defeat The Beast as  Keeper,imagenes3,2,Secret RoomShopWooden ChestSecret RoomTreasure Room,,repentance
Larynx,5.100.611,Hear my pain,"Isaac shouts, damaging and pushing away nearby enemies. The shout gets stronger the more charges the item has. Can also be charged by taking damage.",Defeat The Beast as  Tainted Samson,imagenes3,2,Treasure RoomTreasure Room,,repentance
Lemegeton,5.100.712,Item summoner,"Spawns a wisp representing a random passive item, which orbits Isaac but can be destroyed. While the wisp is alive, Isaac gains that item's effects. Generation uses the current room's item pool 25% of the time, otherwise a random pool.",Defeat Delirium as  Tainted Bethany,imagenes3,3,Devil RoomLibraryDevil Room,,repentance
Magic Skin,5.100.642,All your desires fulfilled,"Consumes one heart container or two   Soul Hearts to spawn an item and give Isaac a broken heart container that can never be filled. If Magic Skin isn't being held after being used, it is very likely to replace any future items.",Defeat Mother as  Jacob and Esau,imagenes3,2,Curse RoomRed ChestShopCurse Room,,repentance
Meat Cleaver,5.100.631,Slice but no dice,Splits all enemies in the room into two smaller versions of themselves with much less health.,Defeat Mother as  Isaac,imagenes3,1,Treasure RoomTreasure Room,,repentance
Mega Mush,5.100.625,I'm a big boy now!,"Gigantifies Isaac for 30 seconds, increasing damage and range while lowering tears, granting invulnerability, and allowing Isaac to crush enemies and obstacles he walks on. The effect persists between rooms.",Earn all Hard mode Completion Marks for all non-Tainted characters,imagenes3,4,Secret RoomTreasure RoomSecret RoomTreasure Room,,repentance
Mom's Bracelet,5.100.604,Mother's strength,"Lets Isaac pick up and throw rocks,   TNT,   Poops, friendly Dips,   Bombs, and other obstacles.",Unlocked,imagenes3,1,Crane GameOld ChestShopShop,,repentance
Plum Flute,5.100.650,Play time!,Summons the boss   Baby Plum to fight for Isaac in the current room.,Allow Baby Plum to escape instead of defeating her,imagenes3,1,Treasure RoomUltra Secret RoomTreasure Room,,repentance
R Key,5.100.636,Time to start over,"Brings Isaac back to the first floor of a new run, retaining all of his items.",Unlocked,imagenes3,4,Secret RoomSecret RoomShop,,repentance
Recall,5.100.714,Come back,Retrieves the Forgotten's body from any distance. Only available as the  Birthright effect for   Tainted Forgotten.,Unlocked,imagenes3,0,,,repentance
Red Key,5.100.580,Explore the other side,"Creates a  Red Room adjacent to a viable wall, indicated by the outline of a door. These rooms have a 10% chance to be a special room.",Open Mom's Chest in Home,imagenes3,3,Curse RoomKey MasterMom's ChestRed ChestSecret RoomUltra Secret Room,,repentance
Sharp Key,5.100.623,Open your enemies,"Adds 5   Keys on pickup. Allows Isaac to throw his keys to deal damage to enemies, destroy obstacles, and open doors.",Unlocked,imagenes3,1,ShopShop,,repentance
Spin to Win,5.100.655,Let it rip!,"When used, gives Isaac +0.5 speed and greatly increases the rotation speed of Isaac's orbitals for 3 seconds. Gives Isaac a spinning top orbital that blocks enemy shots and deals contact damage to enemies while held.",Unlocked,imagenes3,1,Crane GameTreasure RoomTreasure Room,,repentance
Spindown Dice,5.100.723,-1,Transforms all items in the room by decreasing their internal ID number.,Defeat Delirium as  Tainted Isaac,imagenes3,4,Crane GameSecret RoomTreasure RoomSecret RoomShopTreasure Room,,repentance
Stitches,5.100.635,Bait and switch,"Passively spawns a familiar that moves in the direction Isaac shoots. On use, Isaac swaps places with the familiar.",Unlocked,imagenes3,1,Baby ShopTreasure RoomTreasure Room,,repentance
Sulfur,5.100.556,Temporary demon form,Grants  Brimstone for the current room.,Unlocked,imagenes3,3,Devil RoomUltra Secret RoomDevil Room,,repentance
Sumptorium,5.100.713,Blood to blood,"Removes half a heart and creates a Clot familiar that mimics Isaac's movements and tear effects. As   Tainted Eve, passively converts health into Clots while firing. Activating returns all Clots to health.",Defeat Delirium as  Tainted Eve,imagenes3,3,Treasure RoomTreasure Room,,repentance
Suplex!,5.100.709,Angel breaker,"Isaac dashes forward and picks up the first enemy hit. After a moment, he slams them into the ground to deal damage and create a circular rock wave.",Defeat Delirium as  Jacob and Esau,imagenes3,2,Crane GameTreasure RoomTreasure Room,,repentance
The Scooper,5.100.605,Plop!,"Summons  The Peeper for the current room, which leaves a trail of red creep.",Unlocked,imagenes3,1,Treasure RoomTreasure Room,,repentance
Urn of Souls,5.100.640,Unleash their sorrow,"Spews a stream of damaging flame. Gains Soul Charges each time an enemy dies, which are used to fuel the urn.",Defeat Satan as  Bethany,imagenes3,3,Angel RoomAngel Room,,repentance
Vade Retro,5.100.653,Begone!,"While held, enemies leave behind ghosts on death. Using the item causes the ghosts to explode, dealing damage to nearby enemies. Stronger enemies leave bigger ghosts. Ghost enemies and bosses are also destroyed if this is used while they have less than half HP.",Defeat Ultra Greedier as  Bethany,imagenes3,2,Angel RoomAngel Room,,repentance
Wavy Cap,5.100.582,Tears up. A mind changing experience!,"Increases fire rate, decreases speed, and distorts the screen. All effects become more pronounced with repeated use, and wear off by clearing rooms.",Unlocked,imagenes3,1,Secret RoomSecret Room,,repentance
Yuck Heart,5.100.639,Gross!,Gives Isaac a   Rotten Heart.,Defeat Mother as  Magdalene,imagenes3,1,Rotten BeggarTreasure RoomTreasure Room,,repentance
???'s Only Friend,5.100.320,Controlled friend,Spawns a controllable familiar that deals 37.5 damage per second on touch. It can be moved using the shooting directional keys,Complete the Boss Rush as  ???,imagenes3,1,Baby ShopKey MasterTreasure RoomTreasure Room,passive item,rebirth
<3,5.100.15,HP up,Grants Isaac one Red Heart container and fully restores Isaac's health.,Unlocked,imagenes3,2,BossUltra Secret RoomTreasure RoomBoss,passive item,rebirth
1up!,5.100.11,Extra life,"Gives Isaac an extra life. Upon death, he will respawn in the previous room with full health, after which 1up! will disappear.",Unlocked,imagenes3,2,Secret RoomBossSecret RoomShop,passive item,rebirth
20/20,5.100.245,Double shot,"Isaac fires two tears at once, one from each eye.  0.8x damage multiplier.",Unlocked,imagenes3,4,Treasure RoomTreasure Room,passive item,rebirth
3 Dollar Bill,5.100.191,Rainbow tears,Gives Isaac a random tear effect every room. Gives Isaac a random tear effect every few seconds.,Unlocked,imagenes3,2,Treasure RoomTreasure Room,passive item,rebirth
9 Volt,5.100.116,Quicker charge,Reduces the charge of any activated item by 1. Any 1 charge items instead have timed recharges.,Unlocked,imagenes3,2,Battery BumCrane GameShopShop,passive item,rebirth
A Dollar,5.100.18,$$$,Gives Isaac 100   Pennies.,Unlocked,imagenes3,3,,passive item,rebirth
A Lump of Coal,5.100.132,My Xmas present,"The more distance tears travel, the more damage they will do.",Unlocked,imagenes3,3,BossDevil RoomTreasure Room,passive item,rebirth
A Quarter,5.100.74,+25 coins,Gives Isaac 25   coins.,Defeat  Mom's Heart 8 times,imagenes3,0,Secret RoomTreasure RoomDevil RoomGolden ChestDevil Room,passive item,rebirth
A Snack,5.100.346,HP up,Grants one full Red Heart container.  Heals 1 additional   Red Heart.,Unlocked,imagenes3,1,BossBoss,passive item,rebirth
Abaddon,5.100.230,Evil + DMG up + fear shot,"+1.5 damage, +0.2 speed. Removes all Red Heart containers, grants six   Black Hearts, and adds a chance to shoot fear tears. +1.5 damage, +0.2 speed. Grants two   Black Hearts, converts all Red Heart Containers into Black Hearts, and adds a chance to shoot fear tears.",Defeat ??? as  Azazel,imagenes3,3,Devil BeggarUltra Secret RoomDevil RoomDevil Room,passive item,rebirth
Abel,5.100.188,Mirrored buddy,Spawns a familiar that mirrors Isaac's movements and shoots in the opposite direction. Spawns a familiar that mirrors Isaac's movements and shoots towards him.,Defeat The Lamb as  Cain,imagenes3,0,Golden ChestBaby ShopTreasure RoomGolden ChestTreasure Room,passive item,rebirth
Anemic,5.100.214,Toxic blood,"After Isaac is damaged, a trail of red creep will be left behind him until he leaves the current room.  +5 range.  +1.5 range.",Unlocked,imagenes3,1,Ultra Secret RoomTreasure RoomTreasure Room,passive item,rebirth
Ankh,5.100.161,Eternal life?,"Upon death, Isaac will respawn as   ??? in the previous room, with 3   Soul Hearts.",Unlocked,imagenes3,1,Treasure RoomTreasure Room,passive item,rebirth
Anti-Gravity,5.100.222,Anti-gravity tears + tears up,"Tears float in position until firing ceases, after which they will fly off in the direction they were shot in.  -2 Tear Delay.  +1 Fire Rate.",Unlocked,imagenes3,2,Treasure RoomTreasure Room,passive item,rebirth
Aquarius,5.100.308,Trail of tears,"A trail of blue creep is left behind Isaac, which damages enemies.  The creep inherits most of Isaac's tear effects, like homing, etc.",Unlocked,imagenes3,2,Treasure RoomTreasure Room,passive item,rebirth
Aries,5.100.300,Ramming speed,+0.25 Speed. Running into enemies while at a high speed will deal damage.  Prevents Isaac from taking contact damage while moving at high speed.,Unlocked,imagenes3,2,Treasure RoomTreasure Room,passive item,rebirth
Ball of Bandages,5.100.207,Gotta lick 'em all!,"Creates an orbital familiar. Collecting additional copies gives it the ability to shoot Charm tears, then chase enemies to deal contact damage, then deal even more contact damage.",Defeat  Mom,imagenes3,2,Baby ShopBoss,passive item,rebirth
Ball of Tar,5.100.231,Sticky feet...,"Adds a chance to shoot slowing tears. Isaac leaves a trail of slowing creep behind as he moves, impeding enemies' speed.",Unlocked,imagenes3,2,Treasure RoomTreasure Room,passive item,rebirth
BBF,5.100.272,Big Beautiful Fly,Spawns a familiar that flies around the room in a zig-zag pattern and explodes on contact with an enemy. Respawns after ten seconds.,Unlocked,imagenes3,1,Baby ShopKey MasterTreasure Room,passive item,rebirth
Best Bud,5.100.274,Sworn protector,"When hit, spawns a quickly orbiting attack fly similar to  Forever Alone for the current room that deals high damage.",Unlocked,imagenes3,0,Baby ShopTreasure RoomTreasure Room,passive item,rebirth
BFFS!,5.100.247,Your friends rule!,Increases the size and effectiveness of most familiars.,Unlocked,imagenes3,2,Ultra Secret RoomShopShop,passive item,rebirth
Big Fan,5.100.279,Fat protector,Spawns a large orbital familiar that blocks enemy shots and deals 30 damage per second to enemies.,Unlocked,imagenes3,2,Baby ShopKey MasterTreasure RoomTreasure Room,passive item,rebirth
Black Candle,5.100.260,Curse immunity + evil up,Prevents curses. Grants one   Black Heart. Increases the chance for a  Devil Room or  Angel Room to appear.,Donate 150 Coins to the Donation Machine,imagenes3,3,Curse RoomShopCurse RoomShop,passive item,rebirth
Black Lotus,5.100.226,HP up x3!,"Grants one Red Heart Container, one   Soul Heart, and one   Black Heart.",Unlocked,imagenes3,2,Secret RoomSecret RoomTreasure Room,passive item,rebirth
Blood Bag,5.100.119,HP up,"Grants one filled Red Heart container, restores 4   Red Hearts, and increases speed by 0.3.",Use the Blood Donation Machine 30 times,imagenes3,2,Golden ChestUltra Secret Room,passive item,rebirth
Blood Clot,5.100.254,DMG + range up,"Tears fired from the left eye have +1 flat damage, +5 range, and +0.5 tear falling speed.Tears fired from the left eye have +1 flat damage and +2.75 range.",Unlocked,imagenes3,2,Ultra Secret RoomBossBossTreasure Room,,rebirth
Blood of the Martyr,5.100.7,DMG up,+1 damage. Isaac shoots blood tears.,Unlocked,imagenes3,3,Angel RoomWooden ChestTreasure RoomAngel RoomTreasure Room,passive item,rebirth
Bloody Lust,5.100.157,RAGE!,"Increases Isaac's damage whenever he takes damage, up to six times. The bonus resets when entering a new floor.",Defeat Isaac as  Samson,imagenes3,2,Ultra Secret RoomDevil RoomTreasure RoomDevil RoomTreasure Room,,rebirth
Blue Cap,5.100.342,HP + tears up + shot speed down,"Gives one full Red Heart container, +0.7 tears, and -0.16 shot speed.  Heals 1 additional   Red Heart.",Unlocked,imagenes3,3,BossBoss,passive item,rebirth
Blue Map,5.100.246,Secrets,Reveals the locations of  Secret Rooms and  Super Secret Rooms on the map.,Donate 10 Coins to the Donation Machine,imagenes3,2,BeggarShopShop,passive item,rebirth
Bob's Brain,5.100.273,Explosive thoughts,"Spawns a familiar that charges forward when shooting tears and explodes upon contact with an enemy, damaging and poisoning them. The familiar respawns after a few seconds.",Unlocked,imagenes3,1,Golden ChestBaby ShopRotten BeggarTreasure RoomGolden ChestTreasure Room,passive item,rebirth
Bob's Curse,5.100.140,+5 poison bombs,"+5   Bombs. Grants Isaac's bombs a poison effect.  They also leave a lingering poison cloud, and Isaac becomes immune to poison.",Unlocked,imagenes3,1,Rotten BeggarBomb BumRed ChestTreasure RoomTreasure Room,passive item,rebirth
Bobby-Bomb,5.100.125,Homing bombs!,"+5   Bombs. Bombs gain a homing effect, slowly moving towards the nearest enemy.",Unlocked,imagenes3,2,Bomb BumTreasure RoomTreasure Room,passive item,rebirth
Bogo Bombs,5.100.250,1+1 BOOM!,All normal   Bombs become   Double Bombs.,Unlocked,imagenes3,1,Bomb BumShop,passive item,rebirth
Bomb Bag,5.100.131,Gives bombs,Spawns a familiar that drops a   Bomb every 3 rooms.,Defeat Satan as  Cain,imagenes3,2,Golden ChestBomb BumSecret RoomTreasure RoomTreasure Room,passive item,rebirth
Boom!,5.100.19,10 bombs,Grants 10   Bombs.,Unlocked,imagenes3,0,Bomb BumTreasure Room,passive item,rebirth
Box,5.100.198,Stuff,"Spawns various pickups: 1   coin, 1   Key, 1   Bomb, 1   Heart, 1 card/rune, 1 pill and 1 trinket.",Unlocked,imagenes3,0,BeggarBossBoss,,rebirth
Breakfast,5.100.25,HP up,Grants one full Red Heart container.  Heals 1 additional   Red Heart.,Unlocked,imagenes3,1,BeggarBossBoss,passive item,rebirth
Brimstone,5.100.118,Blood laser barrage,Tears are replaced by a laser beam that pierces through all enemies and obstacles in its path and deals high damage. Can only be fired after a short charge-up period.,Unlocked,imagenes3,4,Ultra Secret RoomDevil RoomDevil Room,passive item,rebirth
Broken Watch,5.100.337,I think it's broken,Every 4th newly discovered room entered will slow down or speed up every enemy and their attacks. The chance to slow enemies is quite higher than the chance to speed them up.,Unlocked,imagenes3,1,Crane GameShop,,rebirth
Brother Bobby,5.100.8,Friends 'till the end,Spawns a familiar that follows Isaac around shooting tears that deal 3.5 damage.  He shoots more frequently than most familiars.,Unlocked,imagenes3,1,Baby ShopDevil RoomTreasure RoomTreasure Room,passive item,rebirth
Bucket of Lard,5.100.129,HP up,"Grants two empty Red Heart containers, heals Isaac for a   Half Red Heart, -0.2 speed. Grants two Red Heart containers, -0.2 speed.",Unlocked,imagenes3,1,Treasure Room,,rebirth
Bum Friend,5.100.144,He's greedy,"Spawns a familiar that picks up  coins for himself, giving random pickups in return.  Can spawn Items from the Beggar Item Pool.",Unlocked,imagenes3,1,Baby ShopBeggarTreasure Room,passive item,rebirth
Butt Bombs,5.100.209,Toxic blast +5 bombs,"+5   Bombs. Bombs now cloud up the screen, briefly damaging and confusing all enemies.",Unlocked,imagenes3,2,Shell GameBomb BumTreasure RoomTreasure Room,passive item,rebirth
Caffeine Pill,5.100.340,Speed up + size down,"Grants +0.3 speed, reduces character size, and gives a random pill.",Unlocked,imagenes3,1,Devil BeggarBossBoss,passive item,rebirth
Cain's Other Eye,5.100.319,Near-sighted friend,Spawns a familiar that slowly floats around the room on a zig-zag pattern and shoots normal tears in the same direction as Isaac. Spawns a familiar that follows Isaac and fires tears in random cardinal directions that copy Isaac's tears and tear effects and scale with damage.,Complete the Boss Rush as  Cain,imagenes3,2,Treasure RoomTreasure Room,,rebirth
Cancer,5.100.301,HP up + you feel protected,Adds 3   Soul Hearts. Grants  The Wafer effect for the current room after taking damage.,Unlocked,imagenes3,3,Treasure RoomTreasure Room,,rebirth
Capricorn,5.100.307,All stats up,"Adds 1 Red Heart Container, gives +0.5 Damage, +0.1 Speed, +1.5 Range, and -1.0 Tear Delay, and gives 1   Bomb,   Penny, and   Key. Adds 1 Red Heart Container, gives +0.5 Damage, +0.1 Speed, +0.75 Range, and +0.5 Fire Rate, and gives 1   Bomb,   Penny, and   Key.",Unlocked,imagenes3,3,Treasure RoomTreasure Room,passive item,rebirth
Cat-O-Nine-Tails,5.100.165,Shot speed + damage up,"+1 damage, +0.23 shot speed.",Unlocked,imagenes3,3,Boss,passive item,rebirth
Celtic Cross,5.100.162,Blessing of protection,"Grants a chance to trigger the  Book of Shadows effect upon taking damage, creating a shield that nullifies all types of damage for 7 seconds.",Defeat ??? as  Magdalene,imagenes3,1,Angel RoomTreasure RoomAngel RoomTreasure Room,passive item,rebirth
Ceremonial Robes,5.100.216,DMG + evil up,"Grants 3   Black Hearts, and +1 damage.",Unlocked,imagenes3,3,Curse RoomDevil BeggarDevil RoomCurse RoomDevil Room,passive item,rebirth
Champion Belt,5.100.208,DMG + challenge up,+1 damage. Increases the chance of champion enemies appearing by 15%.,Unlocked,imagenes3,3,Crane GameUltra Secret RoomShopShop,passive item,rebirth
Charm of the Vampire,5.100.62,DMG up + kills heal,Heals Isaac for a   Half Red Heart for every 13 enemies killed.  +0.3 damage.,Unlocked,imagenes3,1,Treasure RoomTreasure Room,passive item,rebirth
Chemical Peel,5.100.154,DMG up,Tears fired from the left eye have +2 flat damage.,Unlocked,imagenes3,2,Treasure RoomTreasure Room,passive item,rebirth
Chocolate Milk,5.100.69,Charge shots,Grants charged tears that deal greater damage when fully charged.,Unlocked,imagenes3,3,Treasure RoomTreasure Room,passive item,rebirth
Contract From Below,5.100.241,Wealth... but at what cost?,"Doubles the number of most room clear awards, but reduces the overall chance of getting one by 1/3.",Unlocked,imagenes3,3,Curse RoomDevil BeggarDevil RoomDevil Room,passive item,rebirth
Cricket's Body,5.100.224,Bursting shots + tears up,"When tears hit an object or deplete their range, they spawn 4 smaller tears, whose range and damage scale with Isaac's.  Grants -1 tear delay and reduces range.  Grants +0.5 fire rate and reduces range.",Unlocked,imagenes3,3,Treasure RoomTreasure Room,passive item,rebirth
Cricket's Head,5.100.4,DMG up,"Increases Damage by 0.5, and increases damage multiplier by x1.5.",Unlocked,imagenes3,4,Golden ChestCrane GameTreasure RoomGolden ChestTreasure Room,passive item,rebirth
Cube of Meat,5.100.73,Gotta meat 'em all!,"Creates an orbital familiar. Collecting additional copies gives it the ability to shoot tears, then chase enemies to deal contact damage, then deal even more contact damage.",Defeat  Mom,imagenes3,2,Baby ShopUltra Secret RoomAngel RoomDevil RoomSecret RoomTreasure RoomBossCurse RoomShop,passive item,rebirth
Cupid's Arrow,5.100.48,Piercing shots,Grants Isaac piercing tears that travel through enemies (but not obstacles) instead of breaking on impact with them.,Unlocked,imagenes3,3,Crane GameTreasure RoomTreasure Room,passive item,rebirth
Cursed Eye,5.100.316,Cursed charge shot,Grants charged tears that can be fired in a tight burst. Getting hit while charging will teleport Isaac to another room.,Unlocked,imagenes3,0,Red ChestSecret RoomTreasure RoomSecret RoomTreasure Room,,rebirth
Daddy Longlegs,5.100.170,Daddy's love,Daddy Long Legs' shadow follows Isaac and occasionally stomps enemies for 40 damage total.,Unlocked,imagenes3,3,Baby ShopTreasure RoomTreasure Room,,rebirth
Dark Bum,5.100.278,He wants to take your life,"Spawns a familiar that follows Isaac around and collects   Red Hearts. For every 1½ Red Hearts collected, Dark Bum will give a reward.",Unlocked,imagenes3,3,Baby ShopDevil BeggarDevil RoomTreasure Room,passive item,rebirth
Dark Matter,5.100.259,DMG up + fear shot,"+1 damage, adds a chance to shoot fear tears.",Unlocked,imagenes3,3,Devil BeggarDevil RoomDevil Room,passive item,rebirth
Dead Bird,5.100.117,Protective buddy,"After Isaac takes damage, spawns a flying familiar that chases enemies for the current room, dealing ~4 damage per second.",Unlocked,imagenes3,0,Baby ShopTreasure RoomDevil RoomTreasure Room,passive item,rebirth
Dead Cat,5.100.81,9 lives,"Sets Isaac's Red Heart Containers to 1, but grants 9 extra lives. After dying, Isaac respawns with 1 Red Heart Container.",Unlocked,imagenes3,3,Curse RoomDevil RoomRed ChestCurse RoomDevil Room,passive item,rebirth
Dead Dove,5.100.185,Flight + spectral tears,Grants spectral tears and flight.,Unlocked,imagenes3,3,Angel RoomAngel Room,passive item,rebirth
Dead Onion,5.100.336,Toxic aura tears,Grants piercing and spectral tears. Increases tear size (without increasing damage) while greatly reducing range and shot speed.,Unlocked,imagenes3,3,Rotten BeggarTreasure RoomTreasure Room,,rebirth
Death's Touch,5.100.237,Piercing shots + DMG up,"+1.5 damage, -0.3 tears. Tears are replaced with large piercing scythes.",Complete Waka Waka (challenge #17),imagenes3,3,Devil RoomTreasure RoomDevil RoomTreasure Room,passive item,rebirth
Demon Baby,5.100.113,Auto-turret friend,Spawns a familiar that follows Isaac and automatically fires at enemies in its reach.,Defeat The Lamb as  Azazel,imagenes3,2,Devil BeggarBaby ShopDevil RoomTreasure RoomDevil Room,passive item,rebirth
Dessert,5.100.24,HP up,Grants one full Red Heart container.  Heals 1 additional   Red Heart.,Unlocked,imagenes3,1,BeggarBossBoss,passive item,rebirth
Dinner,5.100.23,HP up,Grants one full Red Heart container.  Heals 1 additional   Red Heart.,Unlocked,imagenes3,1,BeggarBossBoss,passive item,rebirth
Distant Admiration,5.100.57,Attack fly,"Spawns an attack fly that circles further out than  Halo of Flies, but closer than  Forever Alone, dealing 75 damage per second.",Unlocked,imagenes3,2,Baby ShopKey MasterTreasure RoomTreasure Room,passive item,rebirth
Dr. Fetus,5.100.52,???,Tears are replaced by  Bombs that benefit from bomb-enhancing effects and slide for a fixed time after being fired.,Defeat  Mom's Heart 9 times,imagenes3,4,Treasure RoomTreasure Room,passive item,rebirth
Dry Baby,5.100.265,Immortal friend,"Spawns a familiar that follows Isaac around and blocks enemy projectiles. Upon blocking a shot, it has a chance of triggering  The Necronomicon effect.",Unlocked,imagenes3,3,Baby ShopTreasure RoomTreasure Room,passive item,rebirth
E. Coli,5.100.236,Turdy touch,Enemies that touch Isaac are transformed into   Poop.,Unlocked,imagenes3,1,Treasure RoomTreasure Room,passive item,rebirth
Epic Fetus,5.100.168,On-demand air strike,"Isaac's tears are replaced with guided missiles, like those used by the  Doctor's Remote.",Complete The Family Man (challenge #19),imagenes3,4,Secret RoomTreasure RoomSecret RoomTreasure Room,passive item,rebirth
Eve's Mascara,5.100.310,"DMG up, tears + shot speed down","Doubles damage, halves tears stat, and greatly reduces shot speed.  Doubles damage, 0.66x tears multiplier, and greatly reduces shot speed.",Complete the Boss Rush as  Eve,imagenes3,3,Treasure RoomTreasure Room,passive item,rebirth
Experimental Treatment,5.100.240,"Some stats up, some stats down",Randomly increases and decreases some of Isaac's stats. Increases four random stats and decreases the other two.,Defeat Mom's Heart 7 times,imagenes3,1,BossDevil BeggarTreasure RoomBoss,passive item,rebirth
Fanny Pack,5.100.204,Filled with goodies,Has a chance to drop a random pickup when Isaac takes damage.,Unlocked,imagenes3,1,BeggarShopShop,passive item,rebirth
Fate,5.100.179,Flight eternal,Grants flight and one   Eternal Heart.,Defeat ??? as  ???,imagenes3,3,Golden ChestGolden Chest,passive item,rebirth
Fire Mind,5.100.257,Flaming tears,"Grants flaming tears that deal burning damage over time. Tears have a chance to explode on impact with an enemy, which creates a fire at the location of the explosion.",Unlocked,imagenes3,2,Treasure RoomTreasure Room,passive item,rebirth
